No.;Sentimen;Tweet
1;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
2;Negatif;b'@PrathumRyan @pranjaya_baguz @MightyWar3 Buset 500 Miliar USD, kalahin anggaran militer china+ikn\xf0\x9f\x99\x82'
3;Negatif;b'RT @Usuludin321: Bener juga yah kenapa sih maksain bangun IKN ada apa sebenarnya? https://t.co/KkwkbVkihA'
4;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
5;Negatif;b'RT @HendryanaLubis: @s1lverpegasus Dia pasti mendukung sapa yg bisa lanjutkan ikn yg dia idaman\n\n#Semangat114TurunkanJokowi \n#Semangat411Tu\xe2\x80\xa6'
6;Positif;b'2 orang ini berani datang gk kalo IKN sudah pindah ke Kalimnatan?\n\nBuruan pindah pak @jokowi \xf0\x9f\x99\x8f https://t.co/sxJ4nKbvA0'
7;Positif;b'Pemerintah Susun Rencana Pengembangan Infrastruktur Hunian di IKN https://t.co/7WAg2A82Ha'
8;Negatif;b'RT @Kimi58486332: IKN lebih penting dari entaskan Kemiskinan mas Joko @jokowi  ? Menggenaskan masse https://t.co/X6quciisrJ'
9;Positif;b'Pemerintah mulai menyusun rencana pengembangan infrastruktur bagi penduduk di Ibu Kota Nusantara (IKN). Pengembanga\xe2\x80\xa6 https://t.co/o5K99AQITY'
10;Positif;b'@ZackyRamadhani_ @AlshaibaShihab Kamu nanya fungsi IKN apa biar ku kasih tau ya fungsi IKN itu salah satu upaya men\xe2\x80\xa6 https://t.co/509uV4OtOF'
11;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
12;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
13;Negatif;b'RT @keuangannews_id: IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
14;Positif;b'@Joane24641240 IKN memberikan dampak Positifbagi kemajuan bangsa Indonesia\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/bq6vEWdymW'
15;Negatif;b'@Midjan_La_2 Gak ada demo lagi. Bohirnya memikirkan untuk tempat tinggal ibukota IKN, biar bisa demo lagi.\xf0\x9f\x98\xa5'
